# Modern-en paragraphs whose displayed text differs from what the live site serves. Cached narration (Grok chunks, legacy per-paragraph audio,
# seek maps) built from the old text is stale for these. Final coordinates; live = main edition 7816d1eb (coordinate before the completeness regroup).
# changed_since_completeness = yes if this accessibility pass changed the paragraph (use this column alone if the completeness repair has already shipped).
final_coordinate	live_coordinate	reason	changed_since_completeness	live_sha256	final_sha256
1.15	1.6	text changed (accessibility)	yes	3cc065c5403e1dae7b883b050e7b37b5bb79727420763be3431babcdefefb405	60497de28468eb3ef580b4b5553d03a61d70aa81860c8497f6aac43197fc5294
1.16	1.7	text changed (accessibility)	yes	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830	caf770e856fb875f1c339dccc926c04d562325c63b938b0a31fbc301c2fddfae
1.17	1.8	text changed (accessibility)	yes	c96d680202b5fa3cc641da1d3be17237ac07799e71f449932ff3c93a0928064c	55f5e2d8e1a65f9b093273fbe279b01d54305402d48d35a69ffd9cd618649616
1.18	1.9	text changed (accessibility)	yes	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81	bd1954c72bd52df2b7e7d3b2a32ee334f86cbee62b6507753e439ae7d8f2e2f3
1.19	1.10	text changed (accessibility)	yes	242eb8a67d064167c6f8b867cbb819dd46ba5d9c727a357dbb60c2b0a295f5d7	1417440deab12e945d3bd6da47f2e8fdcc87ea63f851d429f56ba70f0f32e032
1.20	1.11	text changed (accessibility)	yes	c36179d1ccdf5867a52a9506fa0b3a5eddf9da15d67ffc0da35fe9d531664867	c1bceb5c20060d7c7720936f8eb420e8f81e3a33b42a3dbf28c1629c2ab735c4
1.21	1.12	text changed (accessibility)	yes	1e06c286ec38fc1b0bd8cd3f5ce6a46d4341a730536087d7b529ab6b3c9685a8	21a6b54821d44de7fdbdbab2e09c6d323b4dd2e3983c469f4d902ed16f1362db
1.22	1.13	text changed (accessibility)	yes	62b8f300e418cb0fba19e56099782c550206adba4f64fa91e0acd9a296f75281	55e0a6f73bd885d9aaaee6f9353418b040f825104919549668c84046f949fa82
1.24	1.15	text changed (accessibility)	yes	0e50eac693820081691739a1e9aa8c68fafd384b1a446154f5dcf50f845d2958	a2b51ca55f1a3aa8ea97946457395fab38cec557e9d58e6639266d6d15042f6e
1.25	1.16	text changed (accessibility)	yes	a06e448f8f0997b867a77ba765f1780c10d462bd11be958eea9522002b3875ea	58926c5210f9b611843fca6b25a93167e9285ed6d13a18950664b1da8e5bb7cd
1.26	1.17	text changed (accessibility)	yes	41164ee7bde7fbac1a280fc810c0023c61ba471704a6b1a4ec4ef52a725ccda3	c466741c3093e2e5f105ea2f3776e55ad7d768a4e2facf3d6a9f7cbaf48dcf1b
1.28	1.19	text changed (accessibility)	yes	7ff28adb454fa2278c41ef6784407a97c4e952ca94993e27b61aeb83aec43ba1	cb3c8b5821b8722763d3cae31dafe784c755709d5cce81bdbfc50879507d0fee
1.30	1.21	text changed (accessibility)	yes	583ef356d50cae4a5eb13a27b990b2a615b4c72ab58930370b8087aa92490b46	28621a1cb2f4039ee4841b25e6bd31e290f28c491322f5ee6af682dd8580a10f
1.32	1.23	text changed (accessibility)	yes	c20e0684d7861a13d8cd5da026cd041a87fc57aad4ae4816354d37b6a1c8f68e	3d6ac53fb0ab81d6be2835a696a1fc51890eb4e9e17466da0f323b78dceab64b
1.33	1.24	text changed (accessibility)	yes	629de5207781e348c8ab991fbf00ccc00b75d387234bab94b2fc034955231570	2a27df38342277ab8b197e02d42088fdbfc101eb5fa3cde17be248cb00fbce66
1.34	1.25	text changed (accessibility)	yes	60302434fdc912e5d166207935f5e18a357bf79fabb8adddc4e082ac5103d11f	31c41c8b41b40a7b0495bda45132acdcdccb90c3af05053bf33290cd5748a71c
1.35	1.26	text changed (accessibility)	yes	7d3443a066c7885d2f22c6e67b4e9ef2dae04bf7822d4e46b32c2c081dd1c6ea	39af697b97dac0858f0ab57b50ec16ce908e99d245606281d979da217beb7831
1.36	1.27	text changed (accessibility)	yes	50a64f86cbfea2c94d5aa592a8485749e6696d793f278b26d52d59f7d1698bcb	8dd101b70b45c00501325ce22aa30c10a62d6f28d220117124d15749b2639b29
1.40	1.31	text changed (accessibility)	yes	4d55147aa53986d3571e71708bb507aefc5aec0ef9e737b7522f0cb53f12f6d1	1ea66f73a85deb84ef72803ddb776a585cbbf4d7786bf39444a2babce69c55ac
1.41	1.32	text changed (accessibility)	yes	51985dffb80fa32139dcad5a36b12bbab0ff3a22f002536abf651d81e1af3311	3e12e58aff214b2ff4eccf0742a515cc87e3d3e2f17f2a5ca9a4cb03ff0212f5
1.43	1.34	text changed (accessibility)	yes	abdd7f023e4a6671a469f3c5ec4039ad8268f7305fcad0e564cc9623b780cddb	f1923245e4d1e77e5f553b4468d05471e8ad3c9dbce0b584228374fb82238feb
1.44	1.35	text changed (accessibility)	yes	6f7f51bcc670b13a9409792cf552ac7addfba0ef71311113ebd0c2e08370e171	ff14c8b23e654d21b25bb69d6810ee1c42b851cc6452a9ba2f5cf41a26278871
1.45	1.36	text changed (accessibility)	yes	2c24762efc674dd1344b6957bc1f71974f3c2cbac227fc1b69c11aba14a1090e	69675344325073ad05fa22c217089f48b195e75c417b48bf7f27d28b7c9dfb80
1.46	1.37	text changed (accessibility)	yes	c1c0f7d07ff491854ebc71eba3c676d77c513f7b33cdb46494e20eac44233214	d53b9fc636f0548a1f73e19095584796e8b9d4f2b74f829316a3621fd69cbe68
1.47	1.38	text changed (accessibility)	yes	2d5c5a0942701db606485915d20b53e91786b20caa2de982e5052fe4e71f8026	908bd79cc403b41dd031b006677f5e30cfd03660fc5297be892839378e844f6b
2.0	2.0	text changed (accessibility)	yes	0c2873a1b0e7ae7add2fd5832811625fe81e4a857ee57dc9ef197a79c6943349	b029df9dafc32bf2709a77e89625d09c8acb1bca09c400d16508379cd6865eda
2.2	2.2	text changed (accessibility)	yes	690b431455c646328572c3ed704eaefc1c656cc65b39ba5540ca05a3542f6621	f8f2716c44a6577aa172236144413c4f0b2224f4dd750f65b7179e005b05106d
2.4	2.4	text changed (accessibility)	yes	d6a0cbd7c0b9f17995ceb4b5153b965dd356a6b8df2705d0204a6afd7dcbe139	01803f9c2acb656101c715309e29a48fcfca4a645017aad66ea68fdc674cc20c
2.5	2.5	text changed (accessibility)	yes	f8da6b01b1676e387979ab281eacf65ef2ada0cdf9b0e87fc808d9a8b539d028	7c92a937a5220a4867129130ddd67c446bb2b5534261cde56b25ed07c43b38f3
2.6	2.6	text changed (accessibility)	yes	ae71506467eb3c5eec0237f6f41aa36b93862fdbf6c80c3709c46e8fee0c51f1	4e16d35de4d7e0f1d0f8a44c9df4919f3337a3903b7af2e1f6e8e6c15e544ed1
2.7	2.7	text changed (accessibility)	yes	fd9e479f9babe2b115f2e737c7035765cedc56bb927a923cbf13a21f2556ea0d	f5aac3746df98150274657c51f3fb6b60d054a6427967002a4dd56e74effc3cd
3.0	3.0	text changed (accessibility)	yes	d9ef85e1ca51074a8613275b145f223a76d016d7cbb780063dddafa0ce51d6f8	d324324da9107f65e0eca99cf4dc6927f281f4a4921f90579fd12b554720cbeb
3.1	3.1	text changed (accessibility)	yes	d9924449b7f4684fb703adf8c5740d6ac8762e786722896192bec30beb2a15f4	ffe23b4f47eb6399db3018fc66fe567432a857f452b540089400dcf6ccb333d3
3.2	3.2	text changed (accessibility)	yes	57470890fc223f678eba388f86ba0a63015531312ab56fc96fdf8588267243f0	bc6a61805e9dc953ea371126111a636ef8acb98bb165c97657a095ba6d9a96eb
3.3	3.3	text changed (c06+accessibility)	yes	800d9f905b820ef9f7509aedbfda0f81bf0b8a8636b490f908ebaab4109a6c0c	157796dd7c7c71aaab89a2c95719a0f4c0354e3ec4d25973d740a39ca5ab3c89
3.5	3.5	text changed (accessibility)	yes	e212310da29213d01ca88974841e4daef3e9df99ded061d3020041691ff5d486	23464fab3e8f685eebcca17e87e06e3c40cf5b8ff5456b9647c04f391cc725cf
3.6	3.6	text changed (accessibility)	yes	1433d612220522e850c6d24a2ea45f6f3ce82df3d399834bcb367a5b02594656	2fc24761a2eb77b20aba330a2620316b6df8bde6b02f6b5cc361078e835891b6
3.7	3.7	text changed (c06+accessibility)	yes	f3cd77c227ef7c672c6845d18f7798c773ccda4863f7da335d0ba016d3a62103	e4f5e47d82341292b5cc79635fb421db11c04cc5c97d0ac4f543edf3b582af2c
3.8	3.8	text changed (c06+accessibility)	yes	11ab27fbcf5a9948471d9223d3432f884273c94919398ae38e4c39bae416b52e	aee8acfb0dda1be7d034aee4b12e8096cc25b3dec0f541e8979c67f63e19e79b
3.10	3.10	text changed (accessibility)	yes	1dd2d8d8e08db21ef8d3a086218a48079cbc69e4b538565055d8087422f457f9	977e948544e185ff242f5da65beaacb853b7704d956b547238574995822cd212
3.11	3.11	text changed (accessibility)	yes	babf64be7300892ddbefa67bba2f578fa22d4c894b7b5ddd92e045b066d1e5ab	23f74657676b1899dbb68be013d94195d3a5e56f5d7700d43690969944a8f6cd
4.0	4.0	text changed (accessibility)	yes	b0aa001355c6c64aa9a33ff67c50e4842e060324305d11589aa9dfc22e8c026e	39ae77caba5a83100131ca4d72fc4f645585ab5c8f2da986faf7bc12ddfa9aa0
4.1	4.1	text changed (accessibility)	yes	000c08186b6ab95faf17428307d82951d33a7606e784305c977daaedb7611b87	c296f4c223ac12e8f79d86af6984ffef20bb14f8931d3089362978144b9e05cf
4.2	4.2	text changed (accessibility)	yes	ffea78c584f8fc04ba0d5435d91a1f118053f6309d7cfa82204c90ab79931644	3264c5c63c16cb4741df7d050728e527762c29de88c22193ef810e7b933a336d
4.3	4.3	text changed (accessibility)	yes	8ec207eed4753c872da10bf14520517a08c94ea12aad473696c7f3da3c4ed552	a5313038705a485508825b1d39e1acf08213a59f7224cc4fa97de79a830a7c6b
4.4	4.4	text changed (accessibility)	yes	0905bd571bcb4bd03f971ddce9d5415f653bada2dfbebfd420d4691c7cc0644a	398f1993d1c783de349ef6cd94ba5770fef973c365e62337c9dd13450d9dc765
4.5	4.5	text changed (accessibility)	yes	bf8c87a38323efe1bff7f89d1824a1e0c3b973e3b6dff0605a5b98447213c803	9cb66b2bbac01837d608ea3e51c59127c154f6e6adb38c731f96ae8bf52be502
4.6	4.6	text changed (accessibility)	yes	517265ec25edb42ff469b88030aef5844348f5a9db97aeeebb48eb5ccc15a1bf	ea8002efb26fe08073406793910c98e537f130e73d4cdda876515bddbcb4c0ec
4.7	4.7	text changed (accessibility)	yes	e14987ac00916e9b7d39a8fbde96c81aacef0f1cddea3db25d309a869710b657	b14c06f40b85af19415f8233c9bacbf4de406be5b4f815ed8fe9d433ce48dbd8
4.8	4.8	text changed (accessibility)	yes	8938b9db0ebf67f16cd14f40a12b1ddc22bdb2ebae05ca47de69ebdda503d14e	28daad90495698cdb2c50f5c34617079c1d7c7b383403e2d518872103d9bce49
4.9	4.9	text changed (accessibility)	yes	cdf0fe70aaf17e6bd2209c322d90e07f84a04e35f634491f27686d6b6db9ea29	af95a868573d92208129a5b3ac111717fa6552e76dbd2518f67ca2a3bc9133ee
5.0	5.0	text changed (accessibility)	yes	747fecb8c27ed430930e69b0c248fb3f6c1b4be584b0bc40758385e5d146672e	a80ed12c323fb2f8bf1bd3eb3e459e74e7e187e74fcc16ae37bd3b09e0b9c161
5.1	5.1	text changed (accessibility)	yes	e9b2672047e448e5e0e07e7e0f58467886cb3d6ee2c571e936e511c448fdddc4	96692674d5fd98b554d0aab25ab010f5cf188f17f2e5d9c077c843b03ec6131e
5.2	5.2	text changed (accessibility)	yes	a0081ac32e7e75bd48ed38eeccef3956253c1b6d78c12bacc193db6cc82db719	9ab11635a67d6a92bada2a5738ed2a7ecd352506b050c07a0780bfeb12a0c4e2
5.3	5.3	text changed (accessibility)	yes	d5ce98acc7da786fc869e7843131e75967eb8b3c26ab5dada010827aa4e7a95d	e7bb6c1d60a47122ec0527611a7f41b3f931291d700cba39719e89a296f28cd2
5.4	5.4	text changed (accessibility)	yes	38c2e4342acd548cb39e76f4f515b1d6c312d6cc03f56514ab65f0d02d89c716	81cd48fa3cb59d624a80f3aa979fb630b949cfd5ec10fa0d8b83ed6f21c6d15e
5.5	5.5	text changed (accessibility)	yes	c0aa299c60607932c8be9c8e515a10240925168d931ddffe25f98bb13c5bfd83	3d7195c99f3cdb8e1709610495d01d3594fbcefe9534a6f4e73ceaba9cafaaee
5.6	5.6	text changed (accessibility)	yes	d095e531b490b06e71e7b1647cd3b736f7db9a2f57bf7a1f10ba149f767e44a8	4368c1db240b2154d3a35ea58c60f4975acabf89138327a0410eff67e28a698c
5.7	5.7	text changed (accessibility)	yes	d5ace0843377b14d49cc89d0afbf2952a898132ec16bab7322c9faf023db355d	c20489147f9c215aae13492b200c3c8bb1ad82040bf2e6954d463b31f241be99
5.8	5.8	text changed (accessibility)	yes	69ba7d300fc7c1bcb1f2c211eaf9227e3ea8ad30dba97841ea341f08ec12cf0c	987f65249dca61c5f52e67895d720b9ed7c133df60c10d92fe7d7e97cecb3c11
5.9	5.9	text changed (accessibility)	yes	8c8efc418122802860a3c820a3fc23128406dfc3b77f072265c0da6c7aeee445	4543a5ea49735bf3c3691e0bd5193d3af2e1c2f7520f9d50416ecad864f96ec2
5.10	5.10	text changed (accessibility)	yes	ee16b97cf215fc986e14dbd127222c774e4f04172091034a96c6b18cad2b599b	e0ce904198d5e95f6ca9fa04f6c1a49e77a33e48d9eb5f7fa2bf4507f36ab6c2
5.11	5.11	text changed (accessibility)	yes	93aad85dfaa3db09cc954258e1038eb943a53847c247b50b1b7895b5bfc5a350	e15844e71bb3356e415924f70ead3d7732eb7478d17ee3cd62eec97c004f50a7
5.12	5.12	text changed (accessibility)	yes	bffaafd7c2cf6e945d9912b49909447e961db613b8785313770855759db6bb54	6fc384e408be02be4aca48dd40c42139245e56b20cac0c615e1be55ec357a3ff
5.13	5.13	text changed (accessibility)	yes	a70de116284f8a52d14b2e562f3eeb174122afeeafbffb145c161c1ae1ba2324	4b27bf071ff323a7a89b97fd1fe3bfd30e54a5048c6d810b8899d9d28fd58f89
5.15	5.15	text changed (accessibility)	yes	c301750f2ff7d110607e09f58f891a55ca9e90e9ff8d263d8c68df84bfc18e2b	352589d378fb19a0f265efe06d89a4aa863e7ef2af25a56048a4d638c9d48534
5.16	5.16	text changed (accessibility)	yes	49b0dbbb3a02926c481776670786d606a0e6f25c936605f015a4454c47421e02	88cc459f1bc1307e67280582a7619231a8332b8412dd11fc134a2dbc2f71d536
5.17	5.17	text changed (accessibility)	yes	e1df054fa7b21a1e2e85dfe53816786244a579028a8cf5cab60c5e35275d0faf	b40d6a65f56aa9e370f30d37939044386a1ed7de13a2f37f406805d3610ee80b
6.0	6.0	text changed (accessibility)	yes	e27a4581cd31a8818509a40ce7cf7f37a405204f3147ad304b25303969acccb9	4ffe4d21957df35317a64d878a7f3391dbbdf347cd535561f24839fad6dd6c63
6.2	6.2	text changed (accessibility)	yes	eade20186a079a05d9017c4cfa454dd116e74cf0fd56b56287567454496e09a9	320ce47d234251d17da8973fae9ea3cb45feb703f014a52f1be00971f13073ac
6.3	6.3	text changed (accessibility)	yes	13163fc2b42b42386ddb8e6fac21f59947612f43f49d46e4b609fa1c652e74d3	7fbb3536c4dabc946424dca3606053a209fa65856c11b3c21584908df4b7fe65
6.4	6.4	text changed (accessibility)	yes	e6757f300a6deb3552fad6808409451ba0ec0769d8f29e73cb4896100e008dc9	d70b0ae379a8d9b47b6694a9a2dc1b5b54e366e1ba9b02012f79114e3eff45f1
6.6	6.6	text changed (accessibility)	yes	cf7a58e86d21c80e62d3634bac31bd9d1b5648bcba49fdb10323c5a1d2f7eb0c	df366295866923d0ae718811e3283262d0ce584eaca837e8949b96a9291b621a
6.7	6.7	text changed (accessibility)	yes	e0554cba87d3b070f1c327a34d2b0988ffb7e0c4d726cb3fbed6fb4e19707a7b	1bc1e9f69ac33dbecc802a3caa2418b6a1ef8e262d9fd7f9afbd65359e50ef2e
6.8	6.8	text changed (accessibility)	yes	e9e0f69a06e15658ebd7a8683052047578c6d88dc3001b1aa4be0c7915695b70	5a1699391f3c6173f84d5037508670ebbe1c70e8a77a403df163da498afa9985
6.9	6.9	text changed (accessibility)	yes	adb9b60114376c59f843d8541047df0816a842a47995f816d1470e9a5663dac7	274489752639d36db604145f5245b6c4f64d5bedf92f24cc409e96a2d6d4f12d
6.10	6.10	text changed (accessibility)	yes	df7a2bce5d6fa812ffb7577dbfd438ac7cdf78236148478d816c3c075eaf3b39	666217fe268c24f242bbbd717b2866c4fdf17156294c15cc5bb40327308442f9
6.11	6.11	text changed (accessibility)	yes	48d92d8c2ca86ed062bc70f55f7ceca163775c1b377ccc3904e440e21871900d	130a94d6a1c69277bf9f6598c0aeef1ea50b530c14c9834d549287d77478545b
6.12	6.12	text changed (accessibility)	yes	803e9a98db8e6d77f6c61224d553ea2f0ca25efb9c4362ef23eba49ec6a4f641	75e47d808b7aae1cd5e0a27a063dbdd61f9c7bed94ed0a3003138651c7d56906
7.0	7.0	text changed (accessibility)	yes	75207612da929d9997a21ba4ed292e52a5d91a1e8fb73a3b7faa9c8218e616e0	b62bfd69636ca3743c842f82999b494a31e368ca33e3d421b40a7b3ae2d15eaa
7.4	7.4	text changed (accessibility)	yes	96a0ec0df58b994ec4b56be67ce59d8461867563d1b896862d598962f5a40eee	e51a736b9d6e8dd432c02962fd0c71139025e9d689fedc4e64e9a6d20b099d8f
7.8	7.8	text changed (accessibility)	yes	abb1d603c6d468b91fdaf5349c1f7062705e523e9911c99707ae96284db556f6	be08f8a87a92a8eb1c0da13c45172e3125c6b101b688467a5298f3074393598b
7.10	7.10	text changed (accessibility)	yes	4059cb38013313453593fb252c04f4fc2d720c3ce78ccebf29c8ef18cfe56252	077a1009d45b6d3741e5b790f1a7fd95d41bbeff1c2537b984c49c0ef92d2ef4
7.14	7.14	text changed (accessibility)	yes	843a253dc125807bbfebd0294d0bc3f2c84dd2989e8ab73132958719bc371331	49f45639f7137e81f984596f695ad1073dae2f5d5e336002d3db7afbcfc0ca18
7.16	7.16	text changed (accessibility)	yes	858f66d7b86ff5ea94874d7bd195da1862ef4d242d606de3516927286170aac5	08edb67cc7ba9a9534fdb81092ca66e4a68a0b22822f1722e3631f0ac48764f7
7.18	7.18	text changed (accessibility)	yes	331179ad9518e25e088c53119fab23a3fe4fd9b121a1d9f07e1a9c40b8fbc503	a162f1160fa1f33fd37bbf00058014bb88274665a2b4da89f505387fe6d20b8c
7.20	7.20	text changed (accessibility)	yes	829d13ce11dcebd2dc64a41431fff72b8931a02ec027385585deaf76c378cd42	b9fa17ce1ce9ba7690583a64dc67ee16f62ca9799bbd53f70d28ec5350b6a630
7.22	7.22	text changed (accessibility)	yes	bf900a35ac5ff8d3c30baab68237163c7968e347f17de235de544dfa8f91665b	7c2ba2122095401af5957cffc56f063f62e40faa1bee038be6e410cb30ef8593
7.24	7.24	text changed (accessibility)	yes	5d90cffb3b32859c33e9a8b48a0af911871d3948fe3f367685d210cb3c6023b0	f62769b300ec78743877187ee6e24fed0b47444a65c99aa2b3c04fb69b4d2f61
7.26	7.26	text changed (accessibility)	yes	2b7c224e4803d88b6e72afb90c86a62631852d07a573d2d57603bf4044211428	eccca3a3e75182b945a0d2cf8fb88116e14b051b494a069fe7f8441ab126aecd
7.28	7.28	text changed (accessibility)	yes	f593e3503570fc83ae001707672b48483e4dd0e923a2e9860279f2fb4ff37ddc	74a14fd327b7c09e3d2f6ca4ae6022d4df1db3812224775f337bc6ca930e3ab2
7.30	7.30	text changed (accessibility)	yes	1b2c0659cc44b2331532e154346e1a271ce40ebbaddd75566c19352d5d8d26a7	6cbf340071e52e20cafcf9bd5684e7af6496c61923e675f36c85f700eb3f0dbf
7.32	7.32	text changed (accessibility)	yes	cd9305ae44a93b1513519358439392ad68872c2f600178cc66dd4be8212103a9	1be499be087a86775585f85774b45c4427192ca1848836ad63ab429760ff2968
7.34	7.34	text changed (accessibility)	yes	aa2f4d50658b9325f72934295e1cbb0854b035a2e9c8195fe93a719285d5e9fb	cad19413fc753801b143fa514dc6df39e8037c66a972f73712a2e1ec33542b13
7.36	7.36	text changed (accessibility)	yes	c9491c2c7503eb32812b5c122fb5e7cd6cb13dbeac53f5decfe56c771b7e14b0	159953d6bee518505f1963e5d9acbd2270ce2f37700a7ba8adf67063879630a2
7.40	7.40	text changed (accessibility)	yes	41599e9fd8fc76f312629860028caf7487b57a3aa2f9d8829e895233a9c31e37	04db7522d5f05506fe1c6da10959eb3cc05be3a16260d54013ee2dc17be29ced
7.42	7.42	text changed (accessibility)	yes	51deb56142da7b3f2b9dd322ed95e7327b7d424c9d93921b94ba9320b4f3d456	8d6447a7f9c1c253a43aca173dc6cfbe58c5d57c07f88ba19f361b74d2e6e8c9
7.44	7.44	text changed (accessibility)	yes	ca9147fcd67137bbe1fcc33573961fe6928d1e335d3933c08d9e8142930a7665	92af8844ca07dc8857e969a1cf39e4d5aca88c74fc5165bddf1967977f2832ae
7.45	7.45	text changed (accessibility)	yes	cad2fc7bc509bd4dfc5bb9d7099c07ae1fff4149021899886ef56a5991308d55	21374091b385e2a2d37678e8b9e5fadc1c022cd5af66b2f73abfcdf0f88c2506
7.46	7.46	text changed (accessibility)	yes	ee2a17bc7266c156364bb3c753401859399cbdf84c471eae125cf08b80a8138d	1d2dc0ef8b73485941f120e2e49c628f116ada2070ba9e4c92c73a63a58cd1bc
7.47	7.47	text changed (accessibility)	yes	1b7090532645552485680a631188d6189cf21dadbc2cf22f3b6544efaa18031e	2832afaa45ca1264630d8ba89391eae496cbe230410ebd9131858a82ac5eb63e
7.48	7.48	text changed (accessibility)	yes	64b63f0ff808108b58ba4c976d321d5f19f30831e0766473a486e3ad91d28fb5	6521b686ea52a4c32d17304dcf094a336ed52332da4fdd61d1a224945221fc64
7.49	7.49	text changed (accessibility)	yes	9939e54866cef757157404c4cee11db8ccd91a6c610a98b804186d64a0e05232	3f62b3b94f9cc0a3112b5dfd7d9434e13366d0da529169d2518a8bece56676fc
7.50	7.50	text changed (accessibility)	yes	9bcee48e4fabb1f6a4abd60e920a2ab76de08a8431c7e8f2da09e18e4f1d0a4f	5569d6fcd127e772078e934a9f7f1e24c7a1d4d136cb3f52580969b240d1e55a
7.51	7.51	text changed (accessibility)	yes	381f3aaf1997d964d4084fb063adc5912286c7d5548a61c8a16d1a49c17d31e6	1ca34d594d64aedc3abc64e41b78754705e4f9a14f2cda79d6e3d115a3ace90f
7.52	7.52	text changed (accessibility)	yes	589553d99bcdaa799eaf4ac3a9a4ea498ba7e4bee4693d55a44bd0982434fec3	e46d2c790376b998143b25c86c0beec8aa6afa4702149ba04843a4e8d08d7e1b
7.53	7.53	text changed (accessibility)	yes	7ed88953e87917a4f3cd0b17214f923579052a2379c602ea9d42b75c85438ed9	2fcaef4068e179078ae5ef3d520ffd45113f51527f44c3b1c24f17515dbba125
7.54	7.54	text changed (accessibility)	yes	03f18e43579d3d1c4815c454d401e4d16e5900d6f22fcbde742902caaf32b840	fe31eb0b82727662caa8d0096a9c666c1522eaf5a2cbcc65916f64202075eb5b
7.55	7.55	text changed (accessibility)	yes	374af300a0776157f6ae6c0ad6e8ceccd3b1d73b9a8c224625a82386e0d22d8d	b8cd62327fc0a35d7c0560e00f55beee872f47d992490aa9127b53c9978b0f46
7.56	7.56	text changed (accessibility)	yes	d685d3d655140d50755650990460a4d01357ba7f0a01dcd4d91ada6bff72c778	8eff844c5d036c41125c99598caf4970b0bb6d4a53e6bb28d38800079f4b3fea
7.57	7.57	text changed (accessibility)	yes	8d3548b90af9c5396226a30cd0cdcc96825492722e547bdca4f14169cef41dad	2818193f30098d5cff9b62b9a92cc25acf534302f4f08ec7f58ba0e677afe159
7.58	7.58	text changed (accessibility)	yes	240e37bfc98d4b4c4f6eb76c6421f2614aeb676eef66e087e6eca728cbb6b4f8	942b64ea959d56f6cd3c20c431b711ababa54208bbb15d48e253cf1c34639f15
7.59	7.59	text changed (accessibility)	yes	f2ce34542baf58f357c962c3fe4cf050105a5cf51fa028343351bec2364e3541	5ef035d9bb1279f110176e7909334e7ffee5d7191a158f09bae02ae279d7714b
7.60	7.60	text changed (accessibility)	yes	d66846dcc97b5a1ca28f017093d5cd985d2c36442d7251cda45f6ecd00377250	f273bacb4105b4080890b911a4511bc200922451a67c896e3684935b193ea492
7.61	7.61	text changed (accessibility)	yes	e95d74fdb34b72fd4ba9f085336ad87b59ba13dd1340b68ec212a35c36af26d3	ec56bf132c7c57b1ae56c0dd01c0de2de683da2748dd436b803e2ada5312b61f
7.62	7.62	text changed (accessibility)	yes	8e0e9360766f432ca461c3c5c3931c54c96830a0560f96dcc0039eb3835068d7	7117828ef175148192c9ee641f0a7ba4b9e4706ebb3d5954759ff23e3f1c9ce3
7.63	7.63	text changed (accessibility)	yes	f199d15c0d72b831a3a965c9b9fc78b7c92638eaaabe2feb7f5f8d4b3efeb7cd	1c786a386da4bc48d0be59dec950ca9aecffe9124c38ea07be74be81c61c8806
7.64	7.64	text changed (accessibility)	yes	366179fb0f2d8140fdb9f0ae152f81f55162909eeb0549d403d2c51a4437799c	031daa697cdff535abb2baed5138b2228022114af9f280dd41c820664b0e958a
7.65	7.65	text changed (accessibility)	yes	368bdfea20e894ab73add906f46a570eaee819d1b816f9030006ce148aa341df	cff43c34b960568ee6a21a20f4b02abec1dd4de38c3f068ab4a16efc39ea27df
7.66	7.66	text changed (accessibility)	yes	ba5b5a1ff7bec7780da969152530bfb3008ae6109a4e08faada5ea3aac8add43	17e81ec7f862526ab111718000f08a6c2cbdcb5690b7e025d17e39393c724a53
